file,line,name,parent,context,author,displayName,effective_author,credit_status
adv_aceCPR\config.cpp,3,adv_aceCPR,,CfgPatches,[SeL] Belbo // Adrian,,[SeL] Belbo // Adrian,Explicit
TAEASTRS\config.cpp,4,ADDON,,CfgPatches,Chatter and M3ales; TAE Mod Team,,Chatter and M3ales; TAE Mod Team,Explicit
TAECore\config.cpp,13,TAECore,,CfgPatches,TAE Mod Team,,TAE Mod Team,Explicit
TAEDrones\config.cpp,2,TAEDrones,,CfgPatches,TAE Mod Team,,TAE Mod Team,Explicit
TAEDrones\config.cpp,52,missiles_titan,MissileLauncher,CfgWeapons,,,,External inheritance / no local author
TAEDrones\config.cpp,56,tae_weapon_autonomous_at,missiles_titan,CfgWeapons,TAE Mod Team,Autonomous AT Launcher,TAE Mod Team,Explicit
TAEDrones\config.cpp,71,tae_weapon_autonomous_aa,missiles_titan,CfgWeapons,TAE Mod Team,Autonomous AA Launcher,TAE Mod Team,Explicit
TAEDrones\config.cpp,86,tae_blaster_turret_packed,ACE_ItemCore,CfgWeapons,TAE Mod Team,Blaster Turret (Packed),TAE Mod Team,Explicit
TAEDrones\config.cpp,101,tae_autonomous_aa_turret_packed,ACE_ItemCore,CfgWeapons,TAE Mod Team,Autonomous AA Turret (Packed),TAE Mod Team,Explicit
TAEDrones\config.cpp,118,tae_autonomous_at_turret_packed,tae_autonomous_aa_turret_packed,CfgWeapons,TAE Mod Team,Autonomous AT Turret (Packed),TAE Mod Team,Explicit
TAEDrones\config.cpp,125,tae_seeker_droid_packed,ACE_ItemCore,CfgWeapons,TAE Mod Team,Seeker Droid (Packed),TAE Mod Team,Explicit
TAEDrones\config.cpp,151,CAManBase,Man,CfgVehicles,,,,External inheritance / no local author
TAEDrones\config.cpp,187,tae_seeker_droid_ai,I_UAV_AI,CfgVehicles,TAE Mod Team,Seeker Droid AI,TAE Mod Team,Explicit
TAEDrones\config.cpp,194,tae_autonomous_turret_ai,I_UAV_AI,CfgVehicles,TAE Mod Team,Autonomous Turret Droid,TAE Mod Team,Explicit
TAEDrones\config.cpp,206,tae_blaster_turret,mti_armoury_drones_blasterturret_base,CfgVehicles,TAE Mod Team,Blaster Turret,TAE Mod Team,Explicit
